Origin_clean,Asylum_clean,Value,origin_lon,origin_lat,asylum_lon,asylum_lat
Latvia,Austria,*000*00,24.833296149803438,56.80717513427924,14.076158884337072,47.6139487927463
Latvia,Belgium,0000*00,24.833296149803438,56.80717513427924,4.580834113854934,50.65244095902296
Latvia,Brazil,*000000,24.833296149803438,56.80717513427924,-53.05434003576711,-10.806773643498916
Latvia,Canada,130007200,24.833296149803438,56.80717513427924,-98.14238137209698,61.46907614534888
Latvia,France,00003800,24.833296149803438,56.80717513427924,-2.876696699270627,42.46070432663372
Latvia,Germany,8000900,24.833296149803438,56.80717513427924,10.288485092742851,51.13372269040778
Latvia,Iceland,*000000,24.833296149803438,56.80717513427924,-18.761028770831768,65.07427633529105
Latvia,Russia,*000600,24.833296149803438,56.80717513427924,96.80331818290131,61.96166349492301
Latvia,Sweden,0000800,24.833296149803438,56.80717513427924,16.59626584684802,62.811484968080336
Latvia,Switzerland,0000*00,24.833296149803438,56.80717513427924,8.118300613385486,46.79173768366762
Latvia,United Kingdom,*000000,24.833296149803438,56.80717513427924,-2.8531353951805536,53.914773480537036
Latvia,United States of America,680002700,24.833296149803438,56.80717513427924,-112.59943591150451,45.70562800215179
Latvia,Uruguay,0000500,24.833296149803438,56.80717513427924,-56.003278666548475,-32.780904365230825
Lebanon,Algeria,11000000,35.87098632001643,33.91182720781994,2.5980477916183444,28.185481278657537
Lebanon,Argentina,*000*00,35.87098632001643,33.91182720781994,-65.17536077114173,-35.44682148949511
Lebanon,Armenia,*0001900,35.87098632001643,33.91182720781994,45.00029001101479,40.21660761230143
Lebanon,Australia,39900052900,35.87098632001643,33.91182720781994,134.50277547536595,-25.730654779726077
Lebanon,Austria,1900007600,35.87098632001643,33.91182720781994,14.076158884337072,47.6139487927463
Lebanon,Belarus,0000*00,35.87098632001643,33.91182720781994,27.98135261544802,53.50634479481113
Lebanon,Belgium,2020009900,35.87098632001643,33.91182720781994,4.580834113854934,50.65244095902296
Lebanon,Brazil,97500039900,35.87098632001643,33.91182720781994,-53.05434003576711,-10.806773643498916
Lebanon,Bulgaria,110002500,35.87098632001643,33.91182720781994,25.19511095327711,42.7531187620217
Lebanon,Canada,29600074100,35.87098632001643,33.91182720781994,-98.14238137209698,61.46907614534888
Lebanon,Costa Rica,*000000,35.87098632001643,33.91182720781994,-84.17542309600948,9.965671127464528
Lebanon,Cyprus,350004500,35.87098632001643,33.91182720781994,33.03955380295407,34.90706085094344
Lebanon,Czechia,*000*00,35.87098632001643,33.91182720781994,15.334558102365815,49.775245294369
Lebanon,Denmark,350002500,35.87098632001643,33.91182720781994,9.876372937675002,56.06393446179454
Lebanon,Egypt,*000000,35.87098632001643,33.91182720781994,29.844461513124404,26.50661999974955
Lebanon,Ethiopia,*000000,35.87098632001643,33.91182720781994,39.55125579293772,8.65399918813258
Lebanon,Finland,*0001900,35.87098632001643,33.91182720781994,26.21176461029636,64.50409403963653
Lebanon,France,1800013400,35.87098632001643,33.91182720781994,-2.876696699270627,42.46070432663372
Lebanon,Georgia,*000600,35.87098632001643,33.91182720781994,43.481542654090276,42.162015014153006
Lebanon,Germany,445200080400,35.87098632001643,33.91182720781994,10.288485092742851,51.13372269040778
Lebanon,Ghana,*000700,35.87098632001643,33.91182720781994,-1.2369685557063992,7.928651813099647
Lebanon,Greece,820001600,35.87098632001643,33.91182720781994,22.719813447095056,39.066715899713955
Lebanon,Hungary,8000700,35.87098632001643,33.91182720781994,19.357628627745918,47.19995117195427
Lebanon,Indonesia,*000000,35.87098632001643,33.91182720781994,117.42340756227367,-2.2217379365205416
Lebanon,Iraq,*000000,35.87098632001643,33.91182720781994,43.75691096461423,33.03682096372491
Lebanon,Ireland,*0001300,35.87098632001643,33.91182720781994,-8.010236544877014,53.180591209950066
Lebanon,Israel,0000*00,35.87098632001643,33.91182720781994,35.00385120642901,31.484919390019705
Lebanon,Italy,7500034900,35.87098632001643,33.91182720781994,12.140788372235871,42.75118305296426
Lebanon,Jordan,98000*00,35.87098632001643,33.91182720781994,36.77945490632519,31.245490584748417
Lebanon,Kuwait,*000500,35.87098632001643,33.91182720781994,47.600098887626416,29.307266634033564
